"","X","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"476",476,483,"Hitman 2: Silent Assassin","PS2",2002,"Action","Eidos Interactive",1.36,1.15,0.04,0.41,2.96
"392",392,397,"The Legend of Zelda: Spirit Tracks","DS",2009,"Action","Nintendo",1.43,0.94,0.74,0.27,3.38
"332",332,336,"Pokémon Trading Card Game","GB",1998,"Strategy","Nintendo",1.49,0.73,1.38,0.1,3.7
"911",911,929,"Turok 2: Seeds of Evil","N64",1997,"Platform","Acclaim Entertainment",1.37,0.41,0.04,0.04,1.86
"1029",1029,1047,"Need for Speed Underground","XB",2003,"Racing","Electronic Arts",1.09,0.55,0,0.07,1.71
"209",209,211,"Uncharted: Drake's Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.31,1.73,0.12,0.78,4.94
"115",115,116,"Uncharted 3: Drake's Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.8,0.19,1.06,6.83
"793",793,810,"Spec Ops: Airborne Commando","PS",2002,"Shooter","Take-Two Interactive",1.54,0.46,0,0.08,2.07
"491",491,498,"World Soccer Winning Eleven 7 International","PS2",2003,"Sports","Konami Digital Entertainment",0.08,1.24,1.13,0.45,2.9
"560",560,568,"Medal of Honor","PS",1998,"Shooter","Electronic Arts",1.44,1.09,0,0.14,2.67
"682",682,695,"Dead Island","PS3",2011,"Action","Deep Silver",1.08,0.75,0.15,0.31,2.29
"304",304,308,"Assassin's Creed IV: Black Flag","PS3",2013,"Action","Ubisoft",1.33,1.71,0.13,0.73,3.89
"975",975,993,"Sonic the Hedgehog 3","GEN",1994,"Platform","Sega",1.02,0.47,0.2,0.07,1.76
"220",220,222,"FIFA 17","PS4",2016,"Sports","Electronic Arts",0.28,3.75,0.06,0.69,4.77
"703",703,717,"Cool Boarders 2","PS",1997,"Sports","UEP Systems",1.52,0.46,0.2,0.08,2.25
"1062",1062,1080,"The Sims: Superstar","PC",2003,"Simulation","Electronic Arts",1.67,0,0,0,1.68
"553",553,561,"Burnout 3: Takedown","PS2",2004,"Racing","Electronic Arts",1.23,1.11,0,0.34,2.68
"1075",1075,1093,"Monsters, Inc.","GBA",2001,"Adventure","THQ",0.59,0.95,0.03,0.1,1.67
"763",763,779,"Borderlands","PS3",2009,"Shooter","Take-Two Interactive",1.2,0.62,0,0.29,2.11
"351",351,355,"The Simpsons: Road Rage","PS2",2001,"Racing","Electronic Arts",2.02,1.17,0,0.42,3.61
"19",19,19,"Super Mario World","SNES",1990,"Platform","Nintendo",12.78,3.75,3.54,0.55,20.61
"962",962,980,"The Legend of Zelda: The Wind Waker","WiiU",2013,"Action","Nintendo",0.93,0.57,0.14,0.13,1.77
"354",354,358,"Star Wars: Battlefront II","PS2",2005,"Shooter","LucasArts",2.18,1.02,0.03,0.37,3.59
"960",960,978,"Just Cause 2","PS3",2010,"Action","Square Enix",0.45,0.94,0.06,0.33,1.78
"637",637,647,"Tetris Plus","PS",1996,"Puzzle","JVC",2.1,0.24,0,0.07,2.4
"1080",1080,1098,"SpongeBob SquarePants: Battle for Bikini Bottom","PS2",2003,"Platform","THQ",1.08,0.45,0,0.14,1.67
"1005",1005,1023,"Madden NFL 99","PS",1998,"Sports","Electronic Arts",1.66,0.04,0,0.04,1.74
"56",56,56,"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.99,3.69,0.38,1.63,10.69
"140",140,141,"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.62,0.07,0.49,6.24
"877",877,895,"Tomb Raider (2013)","X360",2013,"Action","Square Enix",0.86,0.87,0.01,0.17,1.92
"292",292,296,"Far Cry 4","PS4",2014,"Shooter","Ubisoft",1.12,2.12,0.1,0.69,4.03
"129",129,130,"Halo: Combat Evolved","XB",2001,"Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43
"87",87,87,"Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05
"111",111,112,"Just Dance 4","Wii",2012,"Misc","Ubisoft",4.14,2.21,0,0.56,6.91
"397",397,402,"Assassin's Creed IV: Black Flag","X360",2013,"Action","Ubisoft",1.9,1.14,0.01,0.29,3.34
"695",695,708,"Sonic's Ultimate Genesis Collection","PS3",2009,"Misc","Sega",1.34,0.62,0,0.31,2.27
"811",811,828,"Diablo III","PS3",2013,"Role-Playing","Activision",0.71,0.83,0.15,0.35,2.05
"297",297,301,"Professor Layton and the Diabolical Box","DS",2007,"Puzzle","Nintendo",0.92,1.78,0.92,0.37,4
"327",327,331,"Harry Potter and the Sorcerer's Stone","PS",2001,"Action","Electronic Arts",1.37,2,0.14,0.22,3.73
"619",619,629,"Midnight Club: Los Angeles","PS3",2008,"Racing","Take-Two Interactive",1.55,0.54,0.05,0.31,2.45
"76",76,76,"The Elder Scrolls V: Skyrim","X360",2011,"Role-Playing","Bethesda Softworks",5.03,2.86,0.1,0.85,8.84
"905",905,923,"Dynasty Warriors 3","PS2",2001,"Action","THQ",0.53,0.16,1.07,0.1,1.87
"882",882,900,"The Sims: Makin' Magic","PC",2003,"Simulation","Electronic Arts",1.03,0.8,0,0.09,1.92
"720",720,734,"Devil May Cry 3: Dante's Awakening Special Edition","PS2",2006,"Action","Capcom",1.06,0.82,0.05,0.28,2.21
"461",461,467,"WWE SmackDown! Shut Your Mouth","PS2",2002,"Sports","THQ",1.45,1.13,0.07,0.38,3.02
"224",224,226,"Tony Hawk's Pro Skater 2","PS",2000,"Sports","Activision",3.05,1.41,0.02,0.2,4.68
"38",38,38,"Call of Duty: Modern Warfare 3","PS3",2011,"Shooter","Activision",5.54,5.82,0.49,1.62,13.46
"374",374,379,"Star Wars Battlefront (2015)","XOne",2015,"Shooter","Electronic Arts",1.94,1.22,0.02,0.31,3.49
"685",685,698,"Need for Speed Underground 2","XB",2004,"Racing","Electronic Arts",1.38,0.8,0,0.1,2.28
"237",237,239,"Madden NFL 2005","PS2",2004,"Sports","Electronic Arts",4.18,0.26,0.01,0.08,4.53
"98",98,99,"Call of Duty: World at War","X360",2008,"Shooter","Activision",4.79,1.9,0,0.69,7.37
"163",163,164,"Mario Kart: Super Circuit","GBA",2001,"Racing","Nintendo",2.62,1.64,0.99,0.23,5.47
"717",717,731,"Need for Speed: Hot Pursuit","X360",2010,"Racing","Electronic Arts",1.03,0.98,0,0.21,2.22
"221",221,223,"Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.99,1.31,0.04,0.41,4.76
"615",615,624,"NBA 2K13","PS3",2012,"Sports","Take-Two Interactive",1.72,0.44,0.05,0.27,2.48
"1085",1085,1103,"Max Payne 3","X360",2012,"Shooter","Take-Two Interactive",0.86,0.64,0.01,0.14,1.66
"233",233,235,"Luigi's Mansion: Dark Moon","3DS",2013,"Action","Nintendo",1.78,1.39,1.1,0.3,4.58
"639",639,649,"Theme Hospital","PC",1997,"Strategy","Electronic Arts",2.3,0.1,0,0,2.4
"585",585,593,"LittleBigPlanet","PSP",2009,"Platform","Sony Computer Entertainment",0.64,1.24,0.01,0.69,2.58
"175",175,176,"Donkey Kong 64","N64",1999,"Platform","Nintendo",3.33,0.79,1.09,0.06,5.27
"28",28,28,"Brain Age 2: More Training in Minutes a Day","DS",2005,"Puzzle","Nintendo",3.44,5.36,5.32,1.18,15.3
"1045",1045,1063,"Jampack Winter '99","PS",1999,"Misc","Sony Computer Entertainment",0.94,0.64,0,0.11,1.69
"107",107,108,"Super Smash Bros. Melee","GC",2001,"Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07
"679",679,692,"LEGO Marvel Super Heroes","X360",2013,"Action","Warner Bros. Interactive Entertainment",1.24,0.85,0,0.21,2.3
"644",644,657,"Dead Island","X360",2011,"Action","Deep Silver",1.48,0.71,0,0.2,2.39
"119",119,120,"Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.27,2.25,0.21,1,6.73
"1013",1013,1031,"Disney Infinity","Wii",2013,"Action","Disney Interactive Studios",1.15,0.44,0,0.14,1.73
"752",752,767,"SimCity 2000","PC",1992,"Simulation","Maxis",1.2,0.84,0,0.1,2.14
"146",146,147,"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.28,0.28,1.01,5.99
"625",625,635,"The Sims: Bustin' Out","PS2",2003,"Simulation","Electronic Arts",1.07,1.19,0,0.18,2.43
"359",359,363,"Tomb Raider III: Adventures of Lara Croft","PS",1997,"Action","Eidos Interactive",1.66,1.58,0.12,0.18,3.54
"218",218,220,"FIFA 15","PS3",2014,"Sports","Electronic Arts",0.57,3.14,0.04,1.07,4.82
"1076",1076,1094,"StarCraft II: Heart of the Swarm","PC",2013,"Strategy","Activision",0.82,0.65,0,0.19,1.67
"401",401,406,"Mario Party 9","Wii",2012,"Misc","Nintendo",1.15,1.17,0.76,0.24,3.32
"120",120,121,"Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.1,2.3,0.28,1.04,6.72
"755",755,771,"Final Fantasy Tactics Advance","GBA",2003,"Role-Playing","SquareSoft",0.82,0.37,0.89,0.05,2.13
"355",355,359,"WWF SmackDown!","PS",2000,"Fighting","THQ",2.01,1.35,0.06,0.16,3.58
"23",23,23,"Super Mario Bros. 3","NES",1988,"Platform","Nintendo",9.54,3.44,3.84,0.46,17.28
"737",737,752,"Pokemon Ranger","DS",2006,"Role-Playing","Nintendo",1.29,0.04,0.73,0.12,2.18
"866",866,884,"Jet Moto 2","PS",1997,"Racing","Sony Computer Entertainment",1.41,0.42,0.03,0.07,1.94
"85",85,85,"GoldenEye 007","N64",1997,"Shooter","Nintendo",5.8,2.01,0.13,0.15,8.09
"2",2,2,"Super Mario Bros.","NES",1985,"Platform","Nintendo",29.08,3.58,6.81,0.77,40.24
"406",406,411,"Destiny","XOne",2014,"Shooter","Activision",2.13,0.92,0,0.23,3.28
"835",835,852,"Mortal Kombat vs. DC Universe","PS3",2008,"Fighting","Midway Games",1.48,0.3,0,0.22,2
"568",568,576,"LEGO Star Wars: The Complete Saga","X360",2007,"Action","LucasArts",1.53,0.87,0,0.24,2.64
"268",268,272,"Uncharted 4: A Thief's End","PS4",2016,"Shooter","Sony Computer Entertainment",1.3,2.07,0.18,0.65,4.2
"945",945,963,"Sly 2: Band of Thieves","PS2",2004,"Platform","Sony Computer Entertainment",0.88,0.69,0,0.23,1.81
"972",972,990,"WWF Attitude","PS",1998,"Fighting","Acclaim Entertainment",1.27,0.42,0,0.07,1.76
"389",389,394,"Crash Bash","PS",2000,"Misc","Sony Computer Entertainment",1.56,1.47,0.19,0.17,3.39
"424",424,429,"Enter the Matrix","PS2",2003,"Action","Atari",1.78,1.12,0.09,0.19,3.18
"859",859,877,"NBA Street Vol. 2","PS2",2003,"Sports","Electronic Arts",1.69,0.2,0,0.06,1.95
"83",83,83,"FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.06,5.05,0.13,2.01,8.24
"289",289,293,"World Soccer Winning Eleven 9","PS2",2005,"Sports","Konami Digital Entertainment",0.12,2.26,0.9,0.77,4.06
"340",340,344,"Guitar Hero: World Tour","Wii",2008,"Misc","Activision",2.33,0.97,0,0.35,3.65
"489",489,496,"Sonic Mega Collection Plus","PS2",2004,"Misc","Sega",1.54,1.14,0,0.22,2.9
"850",850,868,"Hot Shots Golf: Open Tee","PSP",2004,"Sports","Sony Computer Entertainment",0.5,0.5,0.63,0.33,1.96
"735",735,750,"Forza Motorsport 5","XOne",2013,"Racing","Microsoft Game Studios",1.21,0.78,0.01,0.17,2.18
"807",807,824,"Carnival Games","DS",2008,"Misc","Take-Two Interactive",1.23,0.64,0,0.19,2.05
"656",656,669,"Tony Hawk's Underground 2","PS2",2004,"Sports","Activision",1.25,0.86,0.01,0.26,2.37
"921",921,939,"Kingdom Hearts: Chain of Memories","GBA",2004,"Role-Playing","Square Enix",1.26,0.18,0.35,0.06,1.85
"366",366,370,"Left 4 Dead","X360",2008,"Shooter","Electronic Arts",2.66,0.5,0.05,0.3,3.52
"21",21,21,"Pokemon Diamond/Pokemon Pearl","DS",2006,"Role-Playing","Nintendo",6.42,4.52,6.04,1.37,18.36
"627",627,637,"Tom Clancy's Rainbow Six: Vegas 2","X360",2008,"Shooter","Ubisoft",1.56,0.61,0.02,0.23,2.42
"634",634,644,"Minecraft","XOne",2014,"Misc","Microsoft Game Studios",1.43,0.76,0,0.22,2.41
"932",932,950,"Secret of Mana","SNES",1993,"Role-Playing","SquareSoft",0.25,0.07,1.49,0.02,1.83
"825",825,842,"Dead Space","PS3",2008,"Action","Electronic Arts",1.05,0.67,0,0.3,2.02
"1078",1078,1096,"Spy Hunter","PS2",2001,"Racing","Midway Games",1.13,0.32,0,0.22,1.67
"14",14,14,"Wii Fit","Wii",2007,"Sports","Nintendo",8.94,8.03,3.6,2.15,22.72
"609",609,618,"Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","XB",2003,"Action","Take-Two Interactive",1.84,0.56,0,0.09,2.49
"557",557,565,"Mortal Kombat","GEN",1992,"Fighting","Arena Entertainment",1.95,0.63,0,0.09,2.67
"133",133,134,"Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.34,1.35,0.06,0.61,6.36
"1055",1055,1073,"Call of Duty Black Ops: Declassified","PSV",2012,"Action","Activision",0.8,0.52,0.07,0.3,1.69
"400",400,405,"Ratchet & Clank","PS2",2002,"Platform","Sony Computer Entertainment",1.44,1.01,0.57,0.3,3.33
"370",370,374,"Assassin's Creed: Brotherhood","X360",2010,"Action","Ubisoft",2.84,0.39,0.03,0.24,3.5
"697",697,710,"Kirby: Nightmare in Dream Land","GBA",2002,"Platform","Nintendo",1.22,0.1,0.91,0.04,2.27
"26",26,26,"Pokemon Ruby/Pokemon Sapphire","GBA",2002,"Role-Playing","Nintendo",6.06,3.9,5.38,0.5,15.85
"902",902,920,"High School Musical: Sing It!","PS2",2007,"Misc","Disney Interactive Studios",0.47,0.08,0,1.33,1.87
"641",641,652,"Zumba Fitness","X360",2010,"Sports","505 Games",1.74,0.48,0,0.18,2.39
"187",187,189,"Tomodachi Life","3DS",2013,"Simulation","Nintendo",0.96,2.02,1.89,0.28,5.15
"322",322,326,"Resident Evil Director's Cut","PS",1996,"Action","Virgin Interactive",1.82,1.24,0.47,0.25,3.77
"174",174,175,"Final Fantasy X-2","PS2",2003,"Role-Playing","Electronic Arts",1.92,1.08,2.11,0.17,5.29
"232",232,234,"Mario & Sonic at the Olympic Winter Games","Wii",2009,"Sports","Sega",1.89,1.99,0.22,0.48,4.58
"349",349,353,"Star Wars: Battlefront","PS2",2004,"Shooter","LucasArts",1.93,1.22,0.03,0.44,3.61
"197",197,199,"Grand Theft Auto: Vice City Stories","PSP",2006,"Action","Take-Two Interactive",1.7,2.02,0.16,1.21,5.08
"981",981,999,"Hitman: Absolution","X360",2012,"Action","Square Enix",0.68,0.9,0.01,0.17,1.76
"592",592,600,"Dragon Age: Origins","X360",2009,"Role-Playing","Electronic Arts",1.76,0.56,0.03,0.22,2.57
"593",593,601,"Madden NFL 08","PS2",2007,"Sports","Electronic Arts",2.14,0.08,0,0.35,2.57
"596",596,604,"Madden NFL 13","PS3",2012,"Sports","Electronic Arts",2.11,0.23,0,0.22,2.56
"31",31,31,"Pokémon Yellow: Special Pikachu Edition","GB",1998,"Role-Playing","Nintendo",5.89,5.04,3.12,0.59,14.64
"488",488,495,"Titanfall","XOne",2014,"Shooter","Electronic Arts",1.84,0.8,0.04,0.22,2.9
"681",681,694,"Pokemon Ranger: Shadows of Almia","DS",2008,"Role-Playing","Nintendo",0.95,0.54,0.62,0.18,2.3
"516",516,523,"Need for Speed: Hot Pursuit","PS3",2010,"Racing","Electronic Arts",1.05,1.25,0.03,0.48,2.81
"262",262,266,"Metal Gear Solid 3: Snake Eater","PS2",2004,"Action","Konami Digital Entertainment",1.46,0,0.83,1.93,4.23
"509",509,516,"BioShock","X360",2007,"Shooter","Take-Two Interactive",1.65,0.86,0.05,0.28,2.83
"79",79,79,"Wii Party","Wii",2010,"Misc","Nintendo",1.79,3.53,2.49,0.68,8.49
"1073",1073,1091,"Disney's DuckTales","NES",1989,"Platform","Capcom",0.91,0.3,0.42,0.04,1.67
"277",277,281,"Watch Dogs","PS4",2014,"Action","Ubisoft",1.4,1.86,0.11,0.77,4.14
"698",698,711,"Wario Land 4","GBA",2001,"Platform","Nintendo",0.9,0.73,0.54,0.09,2.26
"213",213,215,"Monster Hunter Freedom 3","PSP",2010,"Role-Playing","Capcom",0,0,4.87,0,4.87
"629",629,639,"Ice Hockey","NES",1988,"Sports","Nintendo",1.27,0.32,0.78,0.05,2.42
"13",13,13,"Pokemon Gold/Pokemon Silver","GB",1999,"Role-Playing","Nintendo",9,6.18,7.2,0.71,23.1
"273",273,277,"Teenage Mutant Ninja Turtles","NES",1989,"Action","Palcom",3.38,0.44,0.31,0.04,4.17
"1035",1035,1053,"We Ski","Wii",2008,"Sports","Namco Bandai Games",0.99,0.42,0.14,0.15,1.7
"833",833,850,"DriveClub","PS4",2014,"Racing","Sony Computer Entertainment",0.35,1.31,0.02,0.33,2
"303",303,307,"Tony Hawk's Underground","PS2",2003,"Sports","Activision",2.29,1.17,0.01,0.42,3.9
"330",330,334,"Spyro: Year of the Dragon","PS",2000,"Platform","Sony Computer Entertainment",1.93,1.58,0,0.19,3.71
"618",618,628,"uDraw Studio","Wii",2010,"Misc","THQ",1.67,0.58,0,0.2,2.46
"990",990,1008,"Pro Evolution Soccer","PS2",2001,"Sports","Konami Digital Entertainment",0.06,0.9,0.53,0.27,1.75
"537",537,544,"Saints Row: The Third","X360",2011,"Action","THQ",1.25,1.15,0.07,0.3,2.77
"980",980,998,"BioShock Infinite","PS3",2013,"Shooter","Take-Two Interactive",0.72,0.69,0.04,0.31,1.76
"138",138,139,"Driver","PS",1999,"Action","GT Interactive",3.11,2.8,0.02,0.33,6.27
"736",736,751,"Madden NFL 25","X360",2013,"Sports","Electronic Arts",1.97,0.07,0,0.13,2.18
"117",117,118,"Zumba Fitness","Wii",2010,"Sports","505 Games",3.5,2.64,0,0.67,6.81
"326",326,330,"Super Paper Mario","Wii",2007,"Platform","Nintendo",1.98,0.88,0.59,0.32,3.76
"248",248,251,"The Elder Scrolls IV: Oblivion","X360",2006,"Role-Playing","Take-Two Interactive",2.82,1.05,0.13,0.4,4.39
"967",967,985,"Final Fantasy II","SNES",1991,"Role-Playing","Square",0.24,0.09,1.33,0.12,1.77
"647",647,660,"Kinect: Disneyland Adventures","X360",2011,"Misc","Microsoft Game Studios",1.73,0.46,0.02,0.18,2.38
"1086",1086,1104,"NBA Ballers","PS2",2004,"Sports","Midway Games",0.81,0.63,0,0.21,1.66
"941",941,959,"The Evil Within","PS4",2014,"Action","Bethesda Softworks",0.55,0.84,0.11,0.31,1.81
"746",746,761,"Volleyball","NES",1987,"Sports","Nintendo",0.14,0.03,1.98,0,2.15
"1022",1022,1040,"Madden NFL 2005","XB",2004,"Sports","Electronic Arts",1.61,0.03,0,0.08,1.72
"214",214,216,"Dr. Mario","NES",1990,"Puzzle","Nintendo",2.62,0.6,1.52,0.1,4.85
"968",968,986,"Kirby 64: The Crystal Shards","N64",2000,"Platform","Nintendo",0.63,0.06,1.03,0.04,1.77
"423",423,428,"Dance Central","X360",2010,"Misc","MTV Games",2.15,0.77,0.01,0.26,3.19
"474",474,481,"Sonic Heroes","PS2",2003,"Platform","Sega",1.04,1.37,0.06,0.49,2.96
"4",4,4,"Wii Sports Resort","Wii",2009,"Sports","Nintendo",15.75,11.01,3.28,2.96,33
"88",88,88,"Final Fantasy VIII","PS",1999,"Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86
"758",758,774,"Final Fantasy III","DS",2006,"Role-Playing","Square Enix",0.91,0.05,1.07,0.09,2.12
"161",161,162,"Monster Hunter Freedom Unite","PSP",2008,"Role-Playing","Capcom",0.47,0.57,4.13,0.34,5.5
"1047",1047,1065,"FIFA 16","X360",2015,"Sports","Electronic Arts",0.55,1.01,0,0.13,1.69
"469",469,476,"Devil May Cry","PS2",2001,"Action","Capcom",1.36,0.86,0.64,0.13,2.99
"477",477,484,"Street Fighter IV","X360",2009,"Fighting","Capcom",1.82,0.71,0.15,0.26,2.95
"278",278,282,"Half-Life","PC",1997,"Shooter","Vivendi Games",4.03,0,0.09,0,4.12
"108",108,109,"Mario Kart 8","WiiU",2014,"Racing","Nintendo",3.13,2.07,1.27,0.49,6.96
"404",404,409,"The Lord of the Rings: The Return of the King","PS2",2003,"Action","Electronic Arts",1.5,1.28,0.05,0.46,3.28
"429",429,435,"Club Penguin: Elite Penguin Force","DS",2008,"Adventure","Disney Interactive Studios",1.88,0.98,0,0.3,3.16
"924",924,942,"Gran Turismo Concept 2001 Tokyo","PS2",2001,"Racing","Unknown",0,1.1,0.42,0.33,1.84
"11",11,11,"Nintendogs","DS",2005,"Simulation","Nintendo",9.07,11,1.93,2.75,24.76
"739",739,754,"Final Fantasy XIII","X360",2010,"Role-Playing","Square Enix",1.27,0.68,0.01,0.2,2.17
"946",946,964,"Guitar Hero: World Tour","PS2",2008,"Misc","Activision",1,0.03,0,0.77,1.8
"938",938,956,"The Sims: Hot Date","PC",2001,"Simulation","Electronic Arts",1.81,0,0,0,1.82
"887",887,905,"Star Wars: The Force Unleashed","Wii",2008,"Action","LucasArts",1.14,0.57,0,0.19,1.91
"674",674,687,"James Bond 007: Everything or Nothing","PS2",2004,"Shooter","Electronic Arts",0.85,1.06,0.09,0.32,2.31
"860",860,878,"Def Jam Vendetta","PS2",2003,"Fighting","Electronic Arts",0.95,0.74,0,0.25,1.94
"854",854,872,"Tom Clancy's Rainbow Six: Vegas","X360",2006,"Shooter","Ubisoft",1.09,0.65,0.02,0.2,1.96
"202",202,204,"Super Smash Bros. for Wii U and 3DS","WiiU",2014,"Fighting","Nintendo",2.59,1.06,0.8,0.57,5.02
"9",9,9,"New Super Mario Bros. Wii","Wii",2009,"Platform","Nintendo",14.59,7.06,4.7,2.26,28.62
"956",956,974,"Dragon Quest Monsters: Joker","DS",2006,"Role-Playing","Square Enix",0.23,0.03,1.49,0.03,1.78
"552",552,560,"Skate 3","X360",2010,"Sports","Electronic Arts",1.46,0.98,0,0.24,2.68
"802",802,819,"The Incredibles","GBA",2004,"Action","THQ",1.15,0.77,0.04,0.1,2.06
"339",339,343,"SOCOM: U.S. Navy SEALs","PS2",2002,"Shooter","Sony Computer Entertainment",2.53,0.81,0.06,0.24,3.65
"358",358,362,"The Getaway","PS2",2002,"Action","Sony Computer Entertainment",1.23,1.77,0.05,0.49,3.54
"155",155,156,"Tetris","NES",1988,"Puzzle","Nintendo",2.97,0.69,1.81,0.11,5.58
"782",782,799,"Battlefield: Hardline","PS4",2015,"Shooter","Electronic Arts",0.7,0.93,0.14,0.32,2.09
"256",256,260,"Fable II","X360",2008,"Role-Playing","Microsoft Game Studios",2.51,1.27,0.11,0.41,4.31
"783",783,800,"Metal Gear Solid: Peace Walker","PSP",2010,"Action","Konami Digital Entertainment",0.46,0.42,0.96,0.25,2.09
"305",305,309,"Monster Hunter 4 Ultimate","3DS",2014,"Role-Playing","Nintendo",0.67,0.49,2.62,0.11,3.89
"345",345,349,"Pro Evolution Soccer 2008","PS2",2007,"Sports","Konami Digital Entertainment",0.05,0,0.64,2.93,3.63
"379",379,384,"Monster Hunter 4","3DS",2013,"Role-Playing","Capcom",0,0,3.44,0,3.44
"1042",1042,1060,"NBA 2K15","XOne",2014,"Sports","Take-Two Interactive",1.36,0.18,0,0.15,1.69
"465",465,472,"Middle-Earth: Shadow of Mordor","PS4",2014,"Action","Warner Bros. Interactive Entertainment",1.01,1.41,0.05,0.53,2.99
"929",929,947,"World of Warcraft: Mists of Pandaria","PC",2012,"Role-Playing","Activision",0.84,0.76,0,0.23,1.83
"586",586,594,"Killzone: Shadow Fall","PS4",2013,"Shooter","Sony Computer Entertainment",0.89,1.33,0.07,0.28,2.58
"337",337,341,"Midnight Club 3: DUB Edition","PSP",2005,"Racing","Take-Two Interactive",1.65,1.22,0,0.79,3.66
"901",901,919,"WCW Nitro","PS",1998,"Fighting","THQ",1.42,0.36,0.03,0.07,1.88
"415",415,420,"Yokai Watch 2 Ganso/Honke","3DS",2014,"Role-Playing","Nintendo",0.03,0,3.18,0,3.22
"102",102,103,"Just Dance","Wii",2009,"Misc","Ubisoft",3.51,3.03,0,0.73,7.27
"772",772,789,"Project Gotham Racing (JP weekly sales)","XB",2002,"Action","Microsoft Game Studios",1.54,0.44,0.04,0.07,2.1
"239",239,242,"Spider-Man: The Movie","PS2",2002,"Action","Activision",2.71,1.51,0.03,0.23,4.48
"486",486,493,"Super Mario World 2: Yoshi's Island","GBA",2002,"Platform","Nintendo",1.75,0.45,0.62,0.09,2.91
"613",613,622,"Pure","X360",2008,"Racing","Disney Interactive Studios",1.38,0.85,0,0.25,2.48
"741",741,756,"Tennis","NES",1984,"Sports","Nintendo",0.48,0.11,1.56,0.02,2.17
"55",55,55,"Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.96,4.88,0.81,2.12,10.77
"65",65,65,"New Super Mario Bros. 2","3DS",2012,"Platform","Nintendo",3.66,3.07,2.47,0.63,9.82
"77",77,77,"Super Mario Kart","SNES",1992,"Racing","Nintendo",3.54,1.24,3.81,0.18,8.76
"602",602,611,"Game Party","Wii",2007,"Misc","Midway Games",1.5,0.78,0,0.24,2.52
"244",244,247,"Nintendo Land","WiiU",2012,"Misc","Nintendo",2.55,1.11,0.46,0.33,4.44
"459",459,465,"Tom Clancy's Splinter Cell","XB",2002,"Action","Ubisoft",1.85,1.04,0,0.13,3.02
